id,dev,fp,det,geo,ch
# X1
 0,  11,3,31,1,65
 1,  11,3,31,1,67
 2,  11,3,31,1,81
 3,  11,3,31,1,83
 4,  11,3,31,1,69
 5,  11,3,31,1,71
 6,  11,3,31,1,85
 7,  11,3,31,1,87
 8,  11,3,31,1,73
 9,  11,3,31,1,75
10,  11,3,31,1,89
11,  11,3,31,1,91
12,  11,3,31,1,77
13,  11,3,31,1,79
14,  11,3,31,1,93
15,  11,3,31,1,95
# X1'
16,  11,3,31,1,33
17,  11,3,31,1,35
18,  11,3,31,1,49
19,  11,3,31,1,51
20,  11,3,31,1,37
21,  11,3,31,1,39
22,  11,3,31,1,53
23,  11,3,31,1,55
24,  11,3,31,1,41
25,  11,3,31,1,43
26,  11,3,31,1,57
27,  11,3,31,1,59
28,  11,3,31,1,45
29,  11,3,31,1,47
30,  11,3,31,1,61
31,  11,3,31,1,63
# Y1
32,  11,3,31,1,64
33,  11,3,31,1,66
34,  11,3,31,1,80
35,  11,3,31,1,82
36,  11,3,31,1,68
37,  11,3,31,1,70
38,  11,3,31,1,84
39,  11,3,31,1,86
40,  11,3,31,1,72
41,  11,3,31,1,74
42,  11,3,31,1,88
43,  11,3,31,1,90
44,  11,3,31,1,76
45,  11,3,31,1,78
46,  11,3,31,1,92
47,  11,3,31,1,94
# Y1'
48,  11,3,31,1,32
49,  11,3,31,1,34
50,  11,3,31,1,48
51,  11,3,31,1,50
52,  11,3,31,1,36
53,  11,3,31,1,38
54,  11,3,31,1,52
55,  11,3,31,1,54
56,  11,3,31,1,40
57,  11,3,31,1,42
58,  11,3,31,1,56
59,  11,3,31,1,58
60,  11,3,31,1,44
61,  11,3,31,1,46
62,  11,3,31,1,60 
63,  11,3,31,1,62
# X2
64,  11,3,31,2,33
65,  11,3,31,2,35
66,  11,3,31,2,49
67,  11,3,31,2,51
68,  11,3,31,2,37
69,  11,3,31,2,39
70,  11,3,31,2,53
71,  11,3,31,2,55
72,  11,3,31,2,41
73,  11,3,31,2,43
74,  11,3,31,2,57
75,  11,3,31,2,59
76,  11,3,31,2,45
77,  11,3,31,2,47
78,  11,3,31,2,61
79,  11,3,31,2,63
# X2'
80,  11,3,31,1,97 
81,  11,3,31,1,99 
82,  11,3,31,1,113
83,  11,3,31,1,115
84,  11,3,31,1,101
85,  11,3,31,1,103
86,  11,3,31,1,117
87,  11,3,31,1,119
88,  11,3,31,1,105
89,  11,3,31,1,107
90,  11,3,31,1,121
91,  11,3,31,1,123
92,  11,3,31,1,109
93,  11,3,31,1,111
94,  11,3,31,1,125
95,  11,3,31,1,127
# Y2
96,  11,3,31,2,32
97,  11,3,31,2,34
98,  11,3,31,2,48
99,  11,3,31,2,50
100,  11,3,31,2,36
101,  11,3,31,2,38
102,  11,3,31,2,52
103,  11,3,31,2,54
104,  11,3,31,2,40
105,  11,3,31,2,42
106,  11,3,31,2,56
107,  11,3,31,2,58
108,  11,3,31,2,44
109,  11,3,31,2,46
110,  11,3,31,2,60
111,  11,3,31,2,62
# Y2'
112,  11,3,31,1,96 
113,  11,3,31,1,98 
114,  11,3,31,1,112
115,  11,3,31,1,114
116,  11,3,31,1,100
117,  11,3,31,1,102
118,  11,3,31,1,116
119,  11,3,31,1,118
120,  11,3,31,1,104
121,  11,3,31,1,106
122,  11,3,31,1,120
123,  11,3,31,1,122
124,  11,3,31,1,108
125,  11,3,31,1,110
126,  11,3,31,1,124 
127,  11,3,31,1,126
