id,dev,fp,det,geo,ch
 0,  11,9,31,2,63
 1,  11,9,31,2,62
 2,  11,9,31,2,61
 3,  11,9,31,2,60
 4,  11,9,31,2,47
 5,  11,9,31,2,46
 6,  11,9,31,2,45
 7,  11,9,31,2,44
 8,  11,9,31,2,59
 9,  11,9,31,2,58
10,  11,9,31,2,57
11,  11,9,31,2,56
12,  11,9,31,2,43
13,  11,9,31,2,42
14,  11,9,31,2,41
15,  11,9,31,2,40
16,  11,9,31,2,55
17,  11,9,31,2,54
18,  11,9,31,2,53
19,  11,9,31,2,52
20,  11,9,31,2,39
21,  11,9,31,2,38
22,  11,9,31,2,37
23,  11,9,31,2,36
24,  11,9,31,2,51
25,  11,9,31,2,50
26,  11,9,31,2,49
27,  11,9,31,2,48
28,  11,9,31,2,35
29,  11,9,31,2,34
30,  11,9,31,2,33
31,  11,9,31,2,32
32,  11,9,31,2,95
33,  11,9,31,2,94
34,  11,9,31,2,93
35,  11,9,31,2,92
36,  11,9,31,2,79
37,  11,9,31,2,78
38,  11,9,31,2,77
39,  11,9,31,2,76
40,  11,9,31,2,91
41,  11,9,31,2,90
42,  11,9,31,2,89
43,  11,9,31,2,88
44,  11,9,31,2,75
45,  11,9,31,2,74
46,  11,9,31,2,73
47,  11,9,31,2,72
48,  11,9,31,2,87
49,  11,9,31,2,86
50,  11,9,31,2,85
51,  11,9,31,2,84
52,  11,9,31,2,71
53,  11,9,31,2,70
54,  11,9,31,2,69
55,  11,9,31,2,68
56,  11,9,31,2,83
57,  11,9,31,2,82
58,  11,9,31,2,81
59,  11,9,31,2,80
60,  11,9,31,2,67
61,  11,9,31,2,66
62,  11,9,31,2,65
63,  11,9,31,2,64
64,  11,9,31,2,127
65,  11,9,31,2,126
66,  11,9,31,2,125
67,  11,9,31,2,124
68,  11,9,31,2,111
69,  11,9,31,2,110
70,  11,9,31,2,109
71,  11,9,31,2,108
72,  11,9,31,2,123
73,  11,9,31,2,122
74,  11,9,31,2,121
75,  11,9,31,2,120
76,  11,9,31,2,107
77,  11,9,31,2,106
78,  11,9,31,2,105
79,  11,9,31,2,104
80,  11,9,31,2,119
81,  11,9,31,2,118
82,  11,9,31,2,117
83,  11,9,31,2,116
84,  11,9,31,2,103
85,  11,9,31,2,102
86,  11,9,31,2,101
87,  11,9,31,2,100
88,  11,9,31,2,115
89,  11,9,31,2,114
90,  11,9,31,2,113
91,  11,9,31,2,112
92,  11,9,31,2,99
93,  11,9,31,2,98
