id,dev,fp,det,geo,ch
 0,  11,12,31,1,63
 1,  11,12,31,1,62
 2,  11,12,31,1,61
 3,  11,12,31,1,60
 4,  11,12,31,1,47
 5,  11,12,31,1,46
 6,  11,12,31,1,45
 7,  11,12,31,1,44
 8,  11,12,31,1,59
 9,  11,12,31,1,58
10,  11,12,31,1,57
11,  11,12,31,1,56
12,  11,12,31,1,43
13,  11,12,31,1,42
14,  11,12,31,1,41
15,  11,12,31,1,40
16,  11,12,31,1,55
17,  11,12,31,1,54
18,  11,12,31,1,53
19,  11,12,31,1,52
20,  11,12,31,1,39
21,  11,12,31,1,38
22,  11,12,31,1,37
23,  11,12,31,1,36
24,  11,12,31,1,51
25,  11,12,31,1,50
26,  11,12,31,1,49
27,  11,12,31,1,48
28,  11,12,31,1,35
29,  11,12,31,1,34
30,  11,12,31,1,33
31,  11,12,31,1,32
32,  11,12,31,1,95
33,  11,12,31,1,94
34,  11,12,31,1,93
35,  11,12,31,1,92
36,  11,12,31,1,79
37,  11,12,31,1,78
38,  11,12,31,1,77
39,  11,12,31,1,76
40,  11,12,31,1,91
41,  11,12,31,1,90
42,  11,12,31,1,89
43,  11,12,31,1,88
44,  11,12,31,1,75
45,  11,12,31,1,74
46,  11,12,31,1,73
47,  11,12,31,1,72
48,  11,12,31,1,87
49,  11,12,31,1,86
50,  11,12,31,1,85
51,  11,12,31,1,84
52,  11,12,31,1,71
53,  11,12,31,1,70
54,  11,12,31,1,69
55,  11,12,31,1,68
56,  11,12,31,1,83
57,  11,12,31,1,82




