# [category_name],[id],[device],[focal_plane],[detector],[geometry],[channel]
cat,id,dev,fp,det,geo,ch

# FE9-1 Anode
"sr91a", 0,  11,9,31,0,1

# FE9-1 X
"sr91x", 0,  11,9,31,0,63
"sr91x", 1,  11,9,31,0,62
"sr91x", 2,  11,9,31,0,61
"sr91x", 3,  11,9,31,0,60
"sr91x", 4,  11,9,31,0,47
"sr91x", 5,  11,9,31,0,46
"sr91x", 6,  11,9,31,0,45
"sr91x", 7,  11,9,31,0,44
"sr91x", 8,  11,9,31,0,59
"sr91x", 9,  11,9,31,0,58
"sr91x",10,  11,9,31,0,57
"sr91x",11,  11,9,31,0,56
"sr91x",12,  11,9,31,0,43
"sr91x",13,  11,9,31,0,42
"sr91x",14,  11,9,31,0,41
"sr91x",15,  11,9,31,0,40
"sr91x",16,  11,9,31,0,55
"sr91x",17,  11,9,31,0,54
"sr91x",18,  11,9,31,0,53
"sr91x",19,  11,9,31,0,52
"sr91x",20,  11,9,31,0,39
"sr91x",21,  11,9,31,0,38
"sr91x",22,  11,9,31,0,37
"sr91x",23,  11,9,31,0,36
"sr91x",24,  11,9,31,0,51
"sr91x",25,  11,9,31,0,50
"sr91x",26,  11,9,31,0,49
"sr91x",27,  11,9,31,0,48
"sr91x",28,  11,9,31,0,35
"sr91x",29,  11,9,31,0,34
"sr91x",30,  11,9,31,0,33
"sr91x",31,  11,9,31,0,32
"sr91x",32,  11,9,31,0,95
"sr91x",33,  11,9,31,0,94
"sr91x",34,  11,9,31,0,93
"sr91x",35,  11,9,31,0,92
"sr91x",36,  11,9,31,0,79
"sr91x",37,  11,9,31,0,78
"sr91x",38,  11,9,31,0,77
"sr91x",39,  11,9,31,0,76
"sr91x",40,  11,9,31,0,91
"sr91x",41,  11,9,31,0,90
"sr91x",42,  11,9,31,0,89
"sr91x",43,  11,9,31,0,88
"sr91x",44,  11,9,31,0,75
"sr91x",45,  11,9,31,0,74
"sr91x",46,  11,9,31,0,73
"sr91x",47,  11,9,31,0,72
"sr91x",48,  11,9,31,0,87
"sr91x",49,  11,9,31,0,86
"sr91x",50,  11,9,31,0,85
"sr91x",51,  11,9,31,0,84
"sr91x",52,  11,9,31,0,71
"sr91x",53,  11,9,31,0,70
"sr91x",54,  11,9,31,0,69
"sr91x",55,  11,9,31,0,68
"sr91x",56,  11,9,31,0,83
"sr91x",57,  11,9,31,0,82
"sr91x",58,  11,9,31,0,81
"sr91x",59,  11,9,31,0,80
"sr91x",60,  11,9,31,0,67
"sr91x",61,  11,9,31,0,66
"sr91x",62,  11,9,31,0,65
"sr91x",63,  11,9,31,0,64
"sr91x",64,  11,9,31,0,127
"sr91x",65,  11,9,31,0,126
"sr91x",66,  11,9,31,0,125
"sr91x",67,  11,9,31,0,124
"sr91x",68,  11,9,31,0,111
"sr91x",69,  11,9,31,0,110
"sr91x",70,  11,9,31,0,109
"sr91x",71,  11,9,31,0,108
"sr91x",72,  11,9,31,0,123
"sr91x",73,  11,9,31,0,122
"sr91x",74,  11,9,31,0,121
"sr91x",75,  11,9,31,0,120
"sr91x",76,  11,9,31,0,107
"sr91x",77,  11,9,31,0,106
"sr91x",78,  11,9,31,0,105
"sr91x",79,  11,9,31,0,104
"sr91x",80,  11,9,31,0,119
"sr91x",81,  11,9,31,0,118
"sr91x",82,  11,9,31,0,117
"sr91x",83,  11,9,31,0,116
"sr91x",84,  11,9,31,0,103
"sr91x",85,  11,9,31,0,102
"sr91x",86,  11,9,31,0,101
"sr91x",87,  11,9,31,0,100
"sr91x",88,  11,9,31,0,115
"sr91x",89,  11,9,31,0,114
"sr91x",90,  11,9,31,0,113
"sr91x",91,  11,9,31,0,112
"sr91x",92,  11,9,31,0,99
"sr91x",93,  11,9,31,0,98

# FE9-1 Y
"sr91y", 0,  11,9,31,1,63
"sr91y", 1,  11,9,31,1,62
"sr91y", 2,  11,9,31,1,61
"sr91y", 3,  11,9,31,1,60
"sr91y", 4,  11,9,31,1,47
"sr91y", 5,  11,9,31,1,46
"sr91y", 6,  11,9,31,1,45
"sr91y", 7,  11,9,31,1,44
"sr91y", 8,  11,9,31,1,59
"sr91y", 9,  11,9,31,1,58
"sr91y",10,  11,9,31,1,57
"sr91y",11,  11,9,31,1,56
"sr91y",12,  11,9,31,1,43
"sr91y",13,  11,9,31,1,42
"sr91y",14,  11,9,31,1,41
"sr91y",15,  11,9,31,1,40
"sr91y",16,  11,9,31,1,55
"sr91y",17,  11,9,31,1,54
"sr91y",18,  11,9,31,1,53
"sr91y",19,  11,9,31,1,52
"sr91y",20,  11,9,31,1,39
"sr91y",21,  11,9,31,1,38
"sr91y",22,  11,9,31,1,37
"sr91y",23,  11,9,31,1,36
"sr91y",24,  11,9,31,1,51
"sr91y",25,  11,9,31,1,50
"sr91y",26,  11,9,31,1,49
"sr91y",27,  11,9,31,1,48
"sr91y",28,  11,9,31,1,35
"sr91y",29,  11,9,31,1,34
"sr91y",30,  11,9,31,1,33
"sr91y",31,  11,9,31,1,32
"sr91y",32,  11,9,31,1,95
"sr91y",33,  11,9,31,1,94
"sr91y",34,  11,9,31,1,93
"sr91y",35,  11,9,31,1,92
"sr91y",36,  11,9,31,1,79
"sr91y",37,  11,9,31,1,78
"sr91y",38,  11,9,31,1,77
"sr91y",39,  11,9,31,1,76
"sr91y",40,  11,9,31,1,91
"sr91y",41,  11,9,31,1,90
