x,y
0.000, 0.000
0.001, 0.00359701
0.002, 0.00785902
0.003, 0.0110631
0.004, 0.0152042
0.005, 0.0202823
0.006, 0.0240607
0.007, 0.0289272
0.008, 0.0333404
0.009, 0.037814
0.01, 0.0422271
0.011, 0.0473355
0.012, 0.052595
0.013, 0.0569779
0.014, 0.0619654
0.015, 0.0672853
0.016, 0.0729378
0.017, 0.0785902
0.018, 0.0845147
0.019, 0.0912856
0.02, 0.0968171
0.021, 0.102893
0.022, 0.108757
0.023, 0.115104
0.024, 0.121724
0.025, 0.126984
0.026, 0.132938
0.027, 0.139316
0.028, 0.145815
0.029, 0.152253
0.03, 0.158631
0.031, 0.164526
0.032, 0.171055
0.033, 0.178853
0.034, 0.185533
0.035, 0.191579
0.036, 0.198833
0.037, 0.205937
0.038, 0.213342
0.039, 0.220083
0.04, 0.227186
0.041, 0.234531
0.042, 0.241846
0.043, 0.249343
0.044, 0.257171
0.045, 0.264789
0.046, 0.272799
0.047, 0.279932
0.048, 0.28758
0.049, 0.294925
0.05, 0.303026
0.051, 0.310008
0.052, 0.317142
0.053, 0.324578
0.054, 0.332527
0.055, 0.340175
0.056, 0.34755
0.057, 0.354502
0.058, 0.361243
0.059, 0.369132
0.06, 0.376356
0.061, 0.383188
0.062, 0.390896
0.063, 0.398392
0.064, 0.405616
0.065, 0.412992
0.066, 0.420488
0.067, 0.427924
0.068, 0.435632
0.069, 0.443128
0.07, 0.450654
0.071, 0.458151
0.072, 0.465617
0.073, 0.474443
0.074, 0.481818
0.075, 0.489436
0.076, 0.496781
0.077, 0.504398
0.078, 0.512499
0.079, 0.520086
0.08, 0.527431
0.081, 0.535018
0.082, 0.542907
0.083, 0.550796
0.084, 0.558504
0.085, 0.566122
0.086, 0.573799
0.087, 0.58193
0.088, 0.589245
0.089, 0.59792
0.09, 0.605326
0.091, 0.613034
0.092, 0.620591
0.093, 0.628238
0.094, 0.636188
0.095, 0.643986
0.096, 0.652087
0.097, 0.65916
0.098, 0.667594
0.099, 0.676027
0.1, 0.683191
0.101, 0.690748
0.102, 0.698546
0.103, 0.706012
0.104, 0.712934
0.105, 0.720007
0.106, 0.727624
0.107, 0.735091
0.108, 0.743191
0.109, 0.750627
0.11, 0.756794
0.111, 0.763988
0.112, 0.770758
0.113, 0.778527
0.114, 0.784995
0.115, 0.791041
0.116, 0.796935
0.117, 0.803222
0.118, 0.809056
0.119, 0.814829
0.12, 0.821026
0.121, 0.826195
0.122, 0.831001
0.123, 0.836472
0.124, 0.84155
0.125, 0.847565
0.126, 0.852402
0.127, 0.857087
0.128, 0.861379
0.129, 0.865943
0.13, 0.870961
0.131, 0.875616
0.132, 0.880634
0.133, 0.884563
0.134, 0.88952
0.135, 0.892996
0.136, 0.896835
0.137, 0.901067
0.138, 0.90409
0.139, 0.907868
0.14, 0.911344
0.141, 0.914246
0.142, 0.917511
0.143, 0.921108
0.144, 0.924614
0.145, 0.92806
0.146, 0.930901
0.147, 0.933682
0.148, 0.936281
0.149, 0.939395
0.15, 0.942266
0.151, 0.944926
0.152, 0.947858
0.153, 0.950398
0.154, 0.952997
0.155, 0.955355
0.156, 0.957471
0.157, 0.959949
0.158, 0.962126
0.159, 0.964665
0.16, 0.966962
0.161, 0.969229
0.162, 0.971496
0.163, 0.973763
0.164, 0.975365
0.165, 0.977481
0.166, 0.978932
0.167, 0.980685
0.168, 0.982227
0.169, 0.983768
0.17, 0.98531
0.171, 0.986761
0.172, 0.98803
0.173, 0.98936
0.174, 0.990297
0.175, 0.991083
0.176, 0.99202
0.177, 0.992836
0.178, 0.993441
0.179, 0.994106
0.18, 0.994861
0.181, 0.995496
0.182, 0.99595
0.183, 0.996403
0.184, 0.996705
0.185, 0.996947
0.186, 0.99731
0.187, 0.997582
0.188, 0.997824
0.189, 0.998156
0.19, 0.998307
0.191, 0.998519
0.192, 0.99867
0.193, 0.99867
0.194, 0.998791
0.195, 0.998821
0.196, 0.998851
0.197, 0.998851
0.198, 0.998851
0.199, 0.998882
0.2, 0.998882
0.201, 0.998912
0.202, 0.998912
0.203, 0.998972
0.204, 0.998972
0.205, 0.998972
0.206, 0.998972
0.207, 0.998972
0.208, 0.998972
0.209, 0.998972
0.21, 0.998972
0.211, 0.998972
0.212, 0.998972
0.213, 0.998972
0.214, 0.998972
0.215, 0.998972
0.216, 0.998972
0.217, 0.998972
0.218, 0.998972
0.219, 0.998972
0.22, 0.998972
0.221, 0.998972
0.222, 0.999003
0.223, 0.999003
0.224, 0.999003
0.225, 0.999033
0.226, 0.999033
0.227, 0.999033
0.228, 0.999033
0.229, 0.999033
0.23, 0.999033
0.231, 0.999033
0.232, 0.999033
0.233, 0.999033
0.234, 0.999033
0.235, 0.999033
0.236, 0.999033
0.237, 0.999063
0.238, 0.999093
0.239, 0.999093
0.24, 0.999093
0.241, 0.999093
0.242, 0.999123
0.243, 0.999154
0.244, 0.999154
0.245, 0.999154
0.246, 0.999154
0.247, 0.999154
0.248, 0.999154
0.249, 0.999154
0.25, 0.999154
0.251, 0.999154
0.252, 0.999154
0.253, 0.999154
0.254, 0.999154
0.255, 0.999154
0.256, 0.999154
0.257, 0.999154
0.258, 0.999154
0.259, 0.999154
0.26, 0.999154
0.261, 0.999154
0.262, 0.999154
0.263, 0.999154
0.264, 0.999154
0.265, 0.999154
0.266, 0.999154
0.267, 0.999154
0.268, 0.999154
0.269, 0.999154
0.27, 0.999154
0.271, 0.999154
0.272, 0.999184
0.273, 0.999184
0.274, 0.999184
0.275, 0.999184
0.276, 0.999184
0.277, 0.999184
0.278, 0.999184
0.279, 0.999184
0.28, 0.999184
0.281, 0.999184
0.282, 0.999184
0.283, 0.999184
0.284, 0.999184
0.285, 0.999184
0.286, 0.999184
0.287, 0.999184
0.288, 0.999184
0.289, 0.999184
0.29, 0.999184
0.291, 0.999184
0.292, 0.999184
0.293, 0.999184
0.294, 0.999214
0.295, 0.999214
0.296, 0.999214
0.297, 0.999214
0.298, 0.999244
0.299, 0.999244
0.3, 0.999244
0.301, 0.999275
0.302, 0.999275
0.303, 0.999305
0.304, 0.999335
0.305, 0.999335
0.306, 0.999335
0.307, 0.999335
0.308, 0.999335
0.309, 0.999335
0.31, 0.999335
0.311, 0.999365
0.312, 0.999365
0.313, 0.999365
0.314, 0.999365
0.315, 0.999395
0.316, 0.999395
0.317, 0.999395
0.318, 0.999395
0.319, 0.999395
0.32, 0.999395
0.321, 0.999426
0.322, 0.999456
0.323, 0.999456
0.324, 0.999456
0.325, 0.999456
0.326, 0.999456
0.327, 0.999486
0.328, 0.999486
0.329, 0.999516
0.33, 0.999516
0.331, 0.999516
0.332, 0.999516
0.333, 0.999547
0.334, 0.999547
0.335, 0.999577
0.336, 0.999577
0.337, 0.999577
0.338, 0.999577
0.339, 0.999607
0.34, 0.999607
0.341, 0.999607
0.342, 0.999607
0.343, 0.999607
0.344, 0.999607
0.345, 0.999607
0.346, 0.999637
0.347, 0.999637
0.348, 0.999637
0.349, 0.999637
0.35, 0.999668
0.351, 0.999668
0.352, 0.999668
0.353, 0.999668
0.354, 0.999668
0.355, 0.999668
0.356, 0.999728
0.357, 0.999728
0.358, 0.999728
0.359, 0.999728
0.36, 0.999788
0.361, 0.999819
0.362, 0.999819
0.363, 0.999819
0.364, 0.999819
0.365, 0.999819
0.366, 0.999819
0.367, 0.999819
0.368, 0.999819
0.369, 0.999819
0.37, 0.999819
0.371, 0.999819
0.372, 0.999819
0.373, 0.999819
0.374, 0.999819
0.375, 0.999819
0.376, 0.999849
0.377, 0.999879
0.378, 0.999879
0.379, 0.999879
0.38, 0.999879
0.381, 0.999879
0.382, 0.999879
0.383, 0.999879
0.384, 0.999879
0.385, 0.999909
0.386, 0.999909
0.387, 0.999909
0.388, 0.99994
0.389, 0.99994
0.39, 0.99997
0.391, 0.99997
0.392, 0.99997
0.393, 0.99997
0.394, 0.99997
0.395, 0.99997
0.396, 0.99997
0.397, 0.99997
0.398, 0.99997
0.399, 0.99997
0.4, 1
1.0, 1
