x,y
0.000,0.000
0.001,0.0053196
0.002,0.0109133
0.003,0.0163805
0.004,0.0218507
0.005,0.0272667
0.006,0.0328243
0.007,0.0383577
0.008,0.0437737
0.009,0.0493584
0.01,0.0548708
0.011,0.0604946
0.012,0.0659829
0.013,0.0715374
0.014,0.0771281
0.015,0.0825863
0.016,0.0882312
0.017,0.0938611
0.018,0.0995452
0.019,0.105353
0.02,0.11107
0.021,0.116694
0.022,0.122203
0.023,0.127911
0.024,0.133583
0.025,0.139385
0.026,0.144988
0.027,0.150431
0.028,0.155985
0.029,0.161739
0.03,0.167423
0.031,0.173257
0.032,0.178914
0.033,0.184451
0.034,0.190048
0.035,0.195912
0.036,0.201575
0.037,0.207169
0.038,0.212712
0.039,0.218281
0.04,0.22405
0.041,0.229556
0.042,0.235038
0.043,0.240707
0.044,0.246319
0.045,0.251901
0.046,0.257558
0.047,0.263142
0.048,0.268808
0.049,0.274465
0.05,0.280098
0.051,0.285746
0.052,0.291337
0.053,0.297111
0.054,0.302937
0.055,0.308639
0.056,0.314142
0.057,0.320019
0.058,0.325559
0.059,0.331231
0.06,0.336734
0.061,0.342382
0.062,0.347913
0.063,0.353645
0.064,0.359549
0.065,0.365426
0.066,0.370974
0.067,0.376565
0.068,0.382387
0.069,0.388294
0.07,0.394036
0.071,0.399626
0.072,0.405564
0.073,0.411166
0.074,0.417085
0.075,0.422766
0.076,0.428526
0.077,0.434403
0.078,0.440102
0.079,0.445988
0.08,0.451846
0.081,0.457949
0.082,0.464076
0.083,0.469941
0.084,0.475839
0.085,0.481559
0.086,0.48737
0.087,0.493123
0.088,0.499057
0.089,0.504979
0.09,0.510781
0.091,0.516697
0.092,0.522616
0.093,0.528469
0.094,0.534189
0.095,0.540114
0.096,0.546039
0.097,0.551907
0.098,0.557988
0.099,0.563926
0.1,0.569784
0.101,0.575779
0.102,0.581833
0.103,0.587683
0.104,0.593494
0.105,0.59947
0.106,0.605536
0.107,0.611555
0.108,0.617314
0.109,0.623275
0.11,0.629219
0.111,0.635574
0.112,0.641647
0.113,0.647605
0.114,0.653503
0.115,0.659546
0.116,0.665649
0.117,0.671516
0.118,0.677535
0.119,0.683644
0.12,0.689852
0.121,0.695858
0.122,0.701871
0.123,0.707946
0.124,0.714058
0.125,0.720004
0.126,0.725983
0.127,0.732153
0.128,0.738192
0.129,0.744307
0.13,0.75025
0.131,0.756088
0.132,0.762386
0.133,0.768417
0.134,0.774571
0.135,0.78077
0.136,0.786707
0.137,0.79293
0.138,0.798964
0.139,0.805088
0.14,0.811215
0.141,0.817269
0.142,0.823441
0.143,0.829457
0.144,0.835339
0.145,0.841237
0.146,0.847184
0.147,0.852916
0.148,0.858934
0.149,0.864823
0.15,0.870637
0.151,0.876565
0.152,0.882074
0.153,0.887412
0.154,0.892997
0.155,0.898144
0.156,0.903612
0.157,0.908829
0.158,0.913907
0.159,0.918848
0.16,0.923553
0.161,0.928252
0.162,0.93271
0.163,0.937153
0.164,0.941469
0.165,0.945527
0.166,0.94931
0.167,0.953063
0.168,0.956705
0.169,0.959989
0.17,0.96307
0.171,0.966091
0.172,0.968857
0.173,0.97151
0.174,0.974041
0.175,0.976351
0.176,0.97855
0.177,0.980544
0.178,0.982442
0.179,0.984126
0.18,0.985692
0.181,0.987147
0.182,0.988436
0.183,0.989656
0.184,0.990801
0.185,0.991837
0.186,0.992683
0.187,0.993469
0.188,0.994226
0.189,0.994909
0.19,0.995494
0.191,0.995955
0.192,0.996361
0.193,0.996777
0.194,0.997144
0.195,0.997506
0.196,0.997762
0.197,0.997997
0.198,0.998202
0.199,0.998385
0.2,0.998542
0.201,0.998699
0.202,0.998816
0.203,0.99894
0.204,0.999009
0.205,0.999096
0.206,0.999154
0.207,0.999202
0.208,0.999271
0.209,0.999328
0.21,0.999382
0.211,0.999437
0.212,0.999479
0.213,0.999506
0.214,0.999551
0.215,0.999605
0.216,0.999645
0.217,0.999672
0.218,0.99969
0.219,0.999702
0.22,0.999711
0.221,0.999723
0.222,0.999735
0.223,0.999753
0.224,0.999768
0.225,0.999792
0.226,0.999804
0.227,0.999807
0.228,0.999825
0.229,0.999843
0.23,0.999855
0.231,0.999867
0.232,0.999873
0.233,0.999876
0.234,0.99988
0.235,0.999886
0.236,0.999892
0.237,0.999895
0.238,0.999904
0.239,0.999904
0.24,0.999907
0.241,0.999919
0.242,0.999934
0.243,0.999952
0.244,0.999961
0.245,0.999976
0.246,0.999985
0.247,0.999994
0.248,0.999994
0.249,0.999997
0.25,1
1.0,1
