x,y
0.000, 0.000
0.001, 0.00545169
0.002, 0.0101327
0.003, 0.0150136
0.004, 0.0203796
0.005, 0.0265449
0.006, 0.0318824
0.007, 0.037962
0.008, 0.0442986
0.009, 0.0506065
0.01, 0.0570858
0.011, 0.0636506
0.012, 0.0702726
0.013, 0.0779221
0.014, 0.0856001
0.015, 0.0932781
0.016, 0.100071
0.017, 0.107607
0.018, 0.11537
0.019, 0.123334
0.02, 0.131611
0.021, 0.140402
0.022, 0.148965
0.023, 0.157928
0.024, 0.166519
0.025, 0.174854
0.026, 0.184501
0.027, 0.194092
0.028, 0.203254
0.029, 0.212102
0.03, 0.221065
0.031, 0.229999
0.032, 0.23976
0.033, 0.249465
0.034, 0.258313
0.035, 0.26759
0.036, 0.276752
0.037, 0.286713
0.038, 0.296075
0.039, 0.305523
0.04, 0.314371
0.041, 0.323962
0.042, 0.333095
0.043, 0.342258
0.044, 0.351934
0.045, 0.361182
0.046, 0.370629
0.047, 0.380477
0.048, 0.391466
0.049, 0.401627
0.05, 0.411189
0.051, 0.421236
0.052, 0.43094
0.053, 0.440731
0.054, 0.450264
0.055, 0.459797
0.056, 0.469331
0.057, 0.47855
0.058, 0.488283
0.059, 0.498102
0.06, 0.508777
0.061, 0.520736
0.062, 0.530527
0.063, 0.540431
0.064, 0.549822
0.065, 0.559669
0.066, 0.568289
0.067, 0.577908
0.068, 0.587841
0.069, 0.597032
0.07, 0.60705
0.071, 0.617069
0.072, 0.626773
0.073, 0.636335
0.074, 0.645726
0.075, 0.655602
0.076, 0.666219
0.077, 0.676723
0.078, 0.686827
0.079, 0.696446
0.08, 0.706294
0.081, 0.71617
0.082, 0.725332
0.083, 0.735779
0.084, 0.745397
0.085, 0.755273
0.086, 0.763893
0.087, 0.774055
0.088, 0.783502
0.089, 0.791979
0.09, 0.801741
0.091, 0.810019
0.092, 0.819723
0.093, 0.828001
0.094, 0.836364
0.095, 0.844641
0.096, 0.853432
0.097, 0.861596
0.098, 0.869074
0.099, 0.876837
0.1, 0.884087
0.101, 0.89128
0.102, 0.898473
0.103, 0.904781
0.104, 0.911774
0.105, 0.918824
0.106, 0.925018
0.107, 0.930327
0.108, 0.935779
0.109, 0.940831
0.11, 0.945483
0.111, 0.950764
0.112, 0.955216
0.113, 0.959326
0.114, 0.962552
0.115, 0.966405
0.116, 0.970087
0.117, 0.97297
0.118, 0.976195
0.119, 0.979478
0.12, 0.981989
0.121, 0.98393
0.122, 0.985671
